"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 209 166
"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 228 206
 192 209 172 187  64  63  96  98  62  21  54  79  75  74 225 186 204 178
 161 256  61  73  96 100  59  24  52  74  74  68 317 223 213 204 195 349
  80  88 112 123  80  28  76 100  97 101 160 124 124 113 103 186  44  48
  58  72  42  14  41  55  52  61 243 144 132 134 132 258  57  59  74  83
  54  18  54  69  69  67   8  10  13  12   7  13   7  13  20  43  27   2
   4   8  11   7  21  22  27  33  24  26  18  23  32  50  29   3  19  33
  45  50  31  41  41  35  35  33  18  21  28  36  25   5  30  56  64  60
  33  40  45  39  40  36  23  30  35  52  36   5  29  62  67  50  23  27
  31  27  30  23  22  29  26  34  20   3  21  35  40  36  55  62  54  51
  68  51  47  66  82 105  63  10  51  63  71  70  21  23  24  23  26  25
  26  31  43  52  33   4  37  61  61  48  37  45  48  41  43  39  50  58
  72 106  60   8  33  48  46  47  29  35  33  36  42  36  33  41  49  63
  46   5  22  37  40  38  55  64  54  53  59  48  41  44  73  98  69   9
  44  70  68  59  28  37  47  36  47  30  37  25  29  35  21   5  32  36
  57  41  47  49  71  60  70  56  71  63  69 101  54  10  52  52  67  59
  35  38  56  51  63  47  43  34  52  59  32   8  44  41  55  50  39  44
  57  50  62  57  54  44  67  79  51   9  49  58  71  77  33  38  50  46
  56  42  39  32  45  57  35   7  39  43  53  65  41  51  56  61  63  50
  57  53  44  74  48   8  41  55  54  64  22  30  27  26  29  23  33  29
  21  38  21   3  21  27  33  41  40  53  57  54  59  47  65  67  47  74
  54   8  55  55  67  73  35  46  49  50  53  41  62  57  37  72  45   7
  51  46  60  59  36  43  49  46  49  42  54  52  41  75  50   7  49  51
  59  62  40  46  58  50  42  46  40  42  59  80  51   8  47  46  50  49
  44  49  61  46  39  42  32  33  50  65  44   7  33  40  44  41  31  34
  43  38  34  40  30  30  42  54  42   6  37  45  69  67  45  51  59  49
  41  53  35  38  52  64  59   8  36  51  68  65  20  22  29  23  20  25
  18  19  25  37  30   2  20  27  51  40   0   0   4   0   0   0   2   0
   0   0   0   0   0   0   0   0]"
"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 233 207
 196 210 173 188  62  63  93  95  64  21  52  79  73  75 225 184 204 179
 170 263  64  68  97 103  63  22  55  72  70  71 316 224 213 207 202 341
  80  85 114 126  82  27  77 100  97 103 160 124 122 113 104 184  44  47
  62  70  43  15  39  48  54  65 242 137 133 130 136 258  55  57  76  84
  55  19  53  70  70  67   9   9  11   9   8  14   8  11  19  40  26   0
   9   6  11   7  21  23  28  34  24  26  17  22  32  53  34   4  23  33
  47  49  34  33  41  44  35  34  18  23  25  37  26   5  36  58  64  64
  33  38  45  39  39  35  24  32  37  52  34   6  29  58  67  48  21  24
  23  27  24  22  20  27  26  33  19   3  20  33  40  36  49  54  57  49
  63  54  45  64  83 102  64   9  43  69  64  74  23  23  26  21  25  25
  26  29  41  50  32   5  37  65  59  53  46  39  46  39  43  40  51  61
